变量名称*,数据类型*,变量地址名称*,变量地址值*,传输方式*,读写方式*,单位,描述,分组*,精度,显示类型,显示格式,组码顺序,字符串长度,字符串编码,字符串大小端,,,,id
1号流量计温度,浮点数,4x,806,变化上传,只读,℃,,默认分组,保留2位小数,无(原始数据),,0-1234,,,,,,,
1号流量计瞬时流速,浮点数,4x,802,变化上传,只读,m3/h,,默认分组,保留2位小数,无(原始数据),,0-1234,,,,,,,
1号流量计累计流量,浮点数,4x,800,变化上传,只读,m3,,默认分组,保留2位小数,无(原始数据),,0-1234,,,,,,,
1号流量计压力,浮点数,4x,804,变化上传,只读,Mpa,,默认分组,保留2位小数,无(原始数据),,0-1234,,,,,,,
2号流量计压力,浮点数,4x,1204,变化上传,只读,Mpa,,默认分组,保留2位小数,无(原始数据),,0-1234,,,,,,,
2号流量计温度,浮点数,4x,1206,变化上传,只读,℃,,默认分组,保留2位小数,无(原始数据),,0-1234,,,,,,,
2号流量计累计流量,浮点数,4x,1200,变化上传,只读,m3,,默认分组,保留2位小数,无(原始数据),,0-1234,,,,,,,
2号流量计瞬时流速,浮点数,4x,1202,变化上传,只读,m3/h,,默认分组,保留2位小数,无(原始数据),,0-1234,,,,,,,
电表累计耗电量,浮点数,4x,810,变化上传,只读,kWh,,默认分组,保留2位小数,无(原始数据),,0-1234,,,,,,,
有功功率,浮点数,4x,812,变化上传,只读,Kw,,默认分组,保留2位小数,无(原始数据),,0-1234,,,,,,,
A相电压,浮点数,4x,814,变化上传,只读,V,,默认分组,保留2位小数,无(原始数据),,0-1234,,,,,,,
B相电压,浮点数,4x,816,变化上传,只读,V,,默认分组,保留2位小数,无(原始数据),,0-1234,,,,,,,
C相电压,浮点数,4x,818,变化上传,只读,V,,默认分组,保留2位小数,无(原始数据),,0-1234,,,,,,,
A相电流,浮点数,4x,820,变化上传,只读,A,,默认分组,保留2位小数,无(原始数据),,0-1234,,,,,,,
B相电流,浮点数,4x,822,变化上传,只读,A,,默认分组,保留2位小数,无(原始数据),,0-1234,,,,,,,
C相电流,浮点数,4x,824,变化上传,只读,A,,默认分组,保留2位小数,无(原始数据),,0-1234,,,,,,,
露点仪湿度,浮点数,4x,830,变化上传,只读,%,,默认分组,保留2位小数,无(原始数据),,2-3412,,,,,,,
露点仪温度,浮点数,4x,832,变化上传,只读,℃,,默认分组,保留2位小数,无(原始数据),,2-3412,,,,,,,
母管压力,16位无符号整数,4x,840,变化上传,只读,Mpa,,默认分组,,无(原始数据),,0-12,,,,,,,
1号空压机运行状态,16位无符号整数,4x,850,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
1号空压机排气温度,16位无符号整数,4x,851,变化上传,只读,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
1号空压机排气压力,16位无符号整数,4x,852,变化上传,只读,Mpa,,默认分组,,无(原始数据),,0-12,,,,,,,
1号空压机运行电流,16位无符号整数,4x,853,变化上传,只读,A,,默认分组,,无(原始数据),,0-12,,,,,,,
1号空压机运行频率,16位无符号整数,4x,854,变化上传,只读,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
1号空压机累计运行时间,16位无符号整数,4x,855,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
